,Degree,Id,Label,Probability,Qid,Topic,b,betweenesscentrality,g,modularity_class,r,size,x,y,Views,Weight,Main topic,Subtopic
1734,12.0,2701987.0,Scottish Labour,0.9802908897399902,Q3179541,History_and_Society.Politics_and_government,225.0,286627.1961728225,71.0,6.0,228.0,17.06081,-5.685643,-3.7402046,187.0,11.763490676879883,History_and_Society,Politics_and_government
1735,2.0,2706486.0,Faith Brook,0.9995657801628112,Q439962,Culture.Biography.Biography*,145.0,5499.0,0.0,1.0,254.0,10.6418915,-5.188697,22.259531,2021.0,1.9991315603256223,Culture,Biography*
1736,43.0,2711536.0,Social norms approach,0.9648651480674744,Q12336254,STEM.Medicine_&_Health,192.0,0.20939319886688307,192.0,36.0,192.0,36.95946,18.750162,4.2876587,3827.0,41.4892013669014,STEM,Medicine_&_Health
1737,5.0,2711998.0,Jerry Paris,0.9996300339698792,Q1381411,Culture.Biography.Biography*,145.0,104237.0,0.0,7.0,254.0,12.567568,9.853133999999999,-22.820496,4195.0,4.998150169849396,Culture,Biography*
1738,13.0,2715723.0,Bowl Coalition,0.287777841091156,Q4951048,History_and_Society.Politics_and_government,240.0,121922.57927575742,174.0,3.0,0.0,17.702702,17.332060000000002,4.559966999999999,2493.0,3.741111934185028,History_and_Society,Politics_and_government
1739,10.0,2719753.0,Scattered disc,0.9978272914886476,Q180380,STEM.Space,192.0,76450.58809523657,192.0,45.0,192.0,15.777026999999999,3.5314487999999997,10.597501,4207.0,9.978272914886476,STEM,Space
1740,7.0,2723917.0,Racecourse Ground,0.9648651480674744,Q1202579,Geography.Regions.Europe.Europe*,145.0,17206.696692089154,163.0,9.0,0.0,13.851351000000001,-11.99891,-12.667563000000001,2690.0,6.754056036472321,Geography,Europe*
1741,3.0,2725802.0,Nightmare (Marvel Comics),1.0000100135803225,Q15222919,Culture.Literature,192.0,7084.510672954728,192.0,16.0,192.0,11.283783999999999,-1.4277053,9.292941,4299.0,3.0000300407409677,Culture,Literature
1742,2.0,2725863.0,Peter Tomich,0.9995794296264648,Q7177344,History_and_Society.Military_and_warfare,149.0,81.83297467932013,127.0,27.0,0.0,10.6418915,-12.617491000000001,20.256527,1942.0,1.9991588592529297,History_and_Society,Military_and_warfare
1743,1.0,2726588.0,Breakthrough,0.14805719256401062,Q439963,History_and_Society.Transportation,232.0,0.0,108.0,31.0,146.0,10.0,-2.3971063999999997,-15.482275,3732.0,0.14805719256401062,History_and_Society,Transportation
1744,1.0,2752810.0,Melissa Stark,0.9993836879730223,Q6812883,Culture.Biography.Biography*,240.0,0.0,174.0,3.0,0.0,10.0,20.870306,-5.2356358,4152.0,0.9993836879730223,Culture,Biography*
1745,3.0,2776281.0,D. J. Shockley,0.9988405108451844,Q5203663,Culture.Sports,240.0,605.0600928736164,174.0,3.0,0.0,11.283783999999999,-9.860479,-21.257275,3491.0,2.9965215325355534,Culture,Sports
1746,2.0,2780816.0,Kyriakos Mitsotakis,0.9916942119598388,Q552751,Culture.Biography.Biography*,192.0,331332.35214899876,192.0,19.0,192.0,10.6418915,-15.672437,-2.7725582,2625.0,1.9833884239196775,Culture,Biography*
1747,3.0,2782443.0,Roy Huggins,0.9993836879730223,Q1563125,Culture.Biography.Biography*,149.0,0.0,127.0,7.0,0.0,11.283783999999999,-24.232094,-1.8606976999999998,1841.0,2.998151063919067,Culture,Biography*
1748,3.0,2784771.0,Shin Megami Tensei If...,1.0000100135803225,Q840431,Culture.Media.Video_games,175.0,0.0,145.0,32.0,0.0,11.283783999999999,-14.019626,-1.2102243000000001,3416.0,3.0000300407409677,Culture,Video_games
1749,13.0,2794180.0,Sweden in the Eurovision Song Contest,0.9219318628311156,Q72986,Culture.Media.Television,232.0,1164.1889443370853,146.0,15.0,0.0,17.702702,-2.1876297,11.729028999999999,2556.0,11.985114216804503,Culture,Television
