,Id,Label,modularity_class,Cluster,Degree,clustering,Qid
1362,51405370,Alec Peters,22,21,3,0.333333,Q27443338
1363,16614958,Junior Hoilett,15,1,1,0.0,Q376313
1364,46695468,Khmer nationalism,11,6,15,0.9523809999999999,Q23808093
1365,58436564,Dom Thompson-Williams,21,2,3,1.0,Q56544056
1366,14878998,Denial of the Holodomor,15,3,5,0.1,Q5257030
1367,5860230,Will Wright (actor),4,4,4,0.0,Q3568307
1368,3215226,Fredricka Whitfield,3,2,3,0.333333,Q5499428
1369,58664028,Shahdiz,15,3,2,1.0,Q5877759
1370,587904,Horia Sima,15,3,4,0.666667,Q442004
1371,2324852,Axel Honneth,30,6,1,0.0,Q60735
1372,425344,Geography of Mars,17,3,26,0.689231,Q128621
1373,13435128,Four-ball golf,20,4,3,0.333333,Q1772982
1374,10568,Association football,11,1,148,0.011583,Q2736
1375,11754698,TSN Top 50 CFL Players,19,0,15,0.6190479999999999,Q3979757
1376,518862,Tokyo Express,24,3,9,0.722222,Q376667
1377,10586554,Kanteerava Studios,6,13,2,1.0,Q6365386
1378,1519414,Wendell Corey,6,5,1,0.0,Q1340156
1379,7872968,Jeffrén Suárez,15,3,1,0.0,Q275405
1380,56945082,Djarimirri,1,11,5,0.8,Q51818713
1381,1297022,Düren,11,1,2,0.0,Q1884
1382,44359330,2016 United States House of Representatives elections,3,2,15,0.4,Q18635193
1383,11095844,Mathias Cormann,29,6,5,0.8,Q1813692
1384,39000648,Elliot Daly,12,1,8,0.392857,Q16234481
1385,2452552,Smush Parker,21,2,1,0.0,Q720536
1386,42086564,Denis Berezovsky,15,3,11,0.9818180000000001,Q15870937
1387,522472,Chess middlegame,15,3,3,0.666667,Q322259
1388,42158004,Megan Barry,3,2,3,1.0,Q16164719
1389,1372014,Michael Mann (sociologist),30,6,1,0.0,Q1425193
1390,33590156,Yuriy Boyko,15,3,7,0.52381,Q1420661
1391,2175640,Little Women (1949 film),4,4,7,0.0,Q1466426
1392,3520296,The Wind Cries Mary,23,7,11,1.0,Q2596700
1393,35471970,Murder in the Private Car,6,5,2,0.0,Q6937772
1394,37143022,Matthew Brzezinski,3,2,4,1.0,Q16195924
1395,7493944,Todd Steussie,19,0,3,0.0,Q14950470
1396,11365198,Ireland Wolfhounds,12,1,22,0.402597,Q6068556
1397,308036,Ashton-under-Lyne,14,9,14,0.571429,Q659803
1398,54109702,Patrick Cutrone,15,3,3,0.333333,Q28377792
1399,11783722,Bledar Kola,11,1,1,0.0,Q2460873
1400,54240704,Tony Rudd (stockbroker),1,2,1,0.0,Q30555626
1401,21480992,Nick Apollo Forte,16,8,1,0.0,Q7026715
1402,700942,Mark Granovetter,30,6,1,0.0,Q594320
1403,49267666,Pansa Hemviboon,11,1,6,0.333333,Q23007774
1404,10082768,Hockney–Falco thesis,11,1,9,0.805556,Q17030410
1405,59150496,2018 LSU vs. Texas A&M football game,19,0,21,0.147619,Q59655603
1406,31717280,Miodrag Radulović,11,1,4,0.333333,Q6871376
1407,1087064,"Xfinity Center (College Park, Maryland)",9,12,3,0.333333,Q2985114
1408,745628,List of Melbourne suburbs,11,1,1,0.0,Q6589799
1409,2641938,Applied physics,17,3,6,0.666667,Q373065
1410,19156218,Star Wars Kid,28,2,1,0.0,Q656193
1411,5144574,Dmytro Chygrynskiy,15,3,4,0.5,Q298140
1412,419388,Christopher Chope,1,2,2,0.0,Q271715
1413,23726950,Mika Chunuonsee,11,1,3,1.0,Q1494329
1414,39867752,Mehreen Faruqi,29,6,5,0.8,Q16728926
1415,54786032,Asha Rangappa,3,2,7,0.428571,Q39048184
1416,1348610,Lucas Neill,11,1,5,0.4,Q215358
1417,20542946,Zakiur Rehman Lakhvi,10,10,7,1.0,Q3920972
1418,772580,Heritage Bank Center,16,8,4,0.0,Q2790698
1419,4422050,Jim Price (musician),23,7,2,1.0,Q3512293
