Id,Label,modularity_class,Cluster,Degree,clustering
37154180,Tokyo_Family,6,5,1,0
1829660,Devizes_(UK_Parliament_constituency),1,2,1,0
229266,Irving_Kristol,30,6,6,0.133333
37683818,Max_Wittek,19,0,2,1
6561740,Joe_Germaine,19,0,1,0
49672876,Barbara_Ross-Lee,6,5,1,0
53194554,Gerald_Everett,19,0,11,0.763636
1365630,Pocketful_of_Miracles,6,5,3,0
5580848,LaChanze,4,4,3,0
714940,Alfred_Weber,30,6,2,1
38981338,Jordan_Jansen,23,7,2,1
413542,Kenai_Peninsula,8,16,7,0.761905
7816124,Plymouth_Adventure,6,5,6,0.066667
