,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1282661,Adrian_Bellani,10.0,0,164,49,-20.073895,18.176357,1282661,1,10,0.0
1292880,À_la_recherche_du_bonheur,12.5,54,124,233,-3.134285,8.13185,1292880,2,5,1369.0
1304163,Victor_Frankenstein,12.5,253,0,107,-18.48366,5.451209,1304163,2,7,9383.780900656804
1306201,Smile_(groupe),25.0,153,96,160,-14.990432,7.467185,1306201,7,19,0.0
1308508,Nancy_Olson,12.5,41,139,0,-17.874744,-17.018082,1308508,2,14,0.0
1309677,Hésychasme,10.0,0,126,172,-18.307291,23.628466,1309677,1,21,0.0
1310477,Tony_Chapron,10.0,235,44,170,3.4452736,-20.469692,1310477,1,2,0.0
1315971,Red_Special,25.0,153,96,160,11.493942,-15.333646,1315971,7,19,0.0
1315999,Firminy,12.5,192,192,192,6.6915226,-21.962626,1315999,2,24,0.0
1326402,Olivier_Lejeune,12.5,193,77,88,3.2761996,-13.2585125,1326402,2,5,262.3966136492394
1332020,Un_flic_à_la_maternelle,15.0,41,139,0,17.764622,12.560535,1332020,3,14,1369.0000000000002
1344039,Christian_Jacob,12.5,0,168,183,23.895962,-2.3150494,1344039,2,12,0.037037037037037035
1360528,Naomie_Harris,12.5,0,134,74,5.2825093,6.2081814,1360528,2,4,1230.3529034065236
1365618,Baile_na_Sceilge,17.5,0,126,172,9.602774,5.254839,1365618,4,21,0.0
1370013,Christophe_Jallet,15.0,235,44,170,-1.0271559,-1.1679506,1370013,3,2,10696.438718855865
1371341,Alain_Bernard,10.0,192,192,192,0.62838346,11.922508,1371341,1,7,0.0
1377781,Valérie_Igounet,40.0,192,192,192,8.479271,-24.33241,1377781,13,11,4281.729365079466
1382502,Sarah_Bolger,12.5,54,124,233,-5.788759,12.418186,1382502,2,3,76.03928571428573
1384225,Frontière_entre_la_Finlande_et_la_Suède,12.5,0,126,172,3.7342083,0.61283326,1384225,2,21,0.0
1386601,Patrice_Duhamel,12.5,235,94,0,14.906144,21.603962,1386601,2,1,1369.0
1386796,Laurent_Stocker,12.5,0,157,116,-9.910701,-13.088816,1386796,2,23,3513.9360774907773
1394570,Shaka_Ponk,15.0,152,129,0,13.574683,24.13974,1394570,3,0,5467.0
1394750,Jayma_Mays,12.5,153,96,160,17.210062,14.94329,1394750,2,19,0.0
1396112,We_Are_the_Champions,20.0,153,96,160,1.5120138,9.524065,1396112,5,19,340.5
1397245,Matthew_Macfadyen,17.5,54,124,233,0.59265167,-19.755669,1397245,4,3,11332.710479957539
1403856,«_Il_»_est_revenu,15.0,0,126,172,-20.970863,23.30698,1403856,3,3,17544.0897172301
1419571,Isabelle_Sadoyan,17.5,193,77,88,-9.38277,-11.615871,1419571,4,5,3877.8650843858613
1431044,Nicole_Calfan,27.5,193,77,88,-10.8437805,9.232512,1431044,8,5,22677.151334117938
1434118,Jonathan_Lambert,12.5,192,192,192,-2.2393227,23.927752,1434118,2,22,1369.0
1441697,Ernests_Gulbis,15.0,114,121,10,-6.8013873,11.147038,1441697,3,20,1368.9999999999995
1442620,La_colline_a_des_yeux,10.0,193,77,88,-6.654869,9.305401,1442620,1,0,0.0
1443488,Isabelle_Ferron,12.5,192,192,192,-10.600335,-10.50949,1443488,2,7,8184.0
1459812,Secret_maçonnique,15.0,255,42,47,21.609741,-20.898611,1459812,3,8,0.0
1478251,Les_Voleurs,20.0,0,157,116,24.229977,0.23905282,1478251,5,23,142.0
1478680,Fabienne_Babe,12.5,0,157,116,15.82691,-4.1617346,1478680,2,23,0.0
1494294,Alucard_(Castlevania),12.5,253,0,107,-21.816132,-6.728447,1494294,2,7,0.0
1495135,Callan_Mulvey,10.0,54,124,233,8.505138,6.751753,1495135,1,3,0.0
1514898,Humberto_de_Alencar_Castelo_Branco,35.0,0,148,245,-9.292475,-6.206561,1514898,11,15,3793.7718398068055
1561095,Îles_Skellig,22.5,0,126,172,-16.612131,9.840725,1561095,6,21,1369.25
1563546,Philippe_Vigier,10.0,0,168,183,-16.480019,9.311686,1563546,1,12,0.0
