,Label,size,r,g,b,x,y,Id,Degree,modularity_class,betweenesscentrality
1973680,Audenshaw_Reservoirs,15.0,192,192,192,2.0319917,-5.116222,1973680,5,33,0.0
1977162,SsangYong_Chairman,10.0,192,192,192,-16.73673,16.063362,1977162,1,28,0.0
1980179,Audrey_Dalton,10.0,192,192,192,5.0096874,16.37469,1980179,1,38,0.0
1980479,"Wallace_High_School,_Lisburn",10.0,176,94,34,4.2695622,6.566991,1980479,1,27,0.0
1988691,Simon_Easterby,12.5,176,94,34,2.6332426,14.076099,1988691,3,27,23.397961189137668
1991300,Peter_Stringer,17.5,176,94,34,-17.150957,3.8613775,1991300,7,27,148.24008772151646
2000858,List_of_longest-running_United_States_television_series,15.0,228,71,225,2.4243956,15.926916,2000858,5,7,40224.902863428
2004862,Ray_Martin_(television_presenter),13.75,187,77,156,2.8001754,4.904187,2004862,4,35,13802.0
2006361,Mike_Mazurki,10.0,69,155,0,-23.946522,-6.210793,2006361,1,4,0.0
2008004,John_Brumby,20.0,192,192,192,12.828124,-12.460928,2008004,9,34,1595.1873015872773
2010476,Scarlett_(Ripley_novel),12.5,199,73,95,-15.771248,1.0222775,2010476,3,16,0.0
2014325,Pauline_Boty,10.0,192,192,192,6.0841866,-16.004747,2014325,1,31,0.0
2015514,Faurot_Field,15.0,60,119,190,3.5980997,-1.5960662,2015514,5,10,7340.385855894043
2018294,The_Man_Who_Came_to_Dinner,12.5,199,73,95,-10.086793,13.273896,2018294,3,16,13802.0
